,name,certificate,overall_rating,enrolls,link,price,image,image_mobile,description,author,platform
22,English Launch: Learn English for Free - Upgrade all areas,True,0,0,/course/english-launch-learn-english-for-free-upgrade-all-areas/,Free,https://img-c.udemycdn.com/course/240x135/1137162_0e37.jpg,https://img-c.udemycdn.com/course/125_H/1137162_0e37.jpg,Improve all areas of your English in this taster course. Learn from a native British speaker to become more fluent.,Anthony Kelleher,Udemy
105,"Enhance English Vocabulary, Idioms, Improve Speaking (Free)",True,0,0,/course/enhance-english-vocabulary-idioms-improve-speaking-free/,Free,https://img-c.udemycdn.com/course/240x135/4694082_1ec4_3.jpg,https://img-c.udemycdn.com/course/125_H/4694082_1ec4_3.jpg,"Master English Vocabulary, English Idioms, English Phrases, Practice Speaking English with Funny Dialogues.",Logus Online,Udemy
93,Etsy 2022 SEO Boot Camp: Your First 1100 Sales Blueprint,True,0,0,/course/etsy-seo-boot-camp-your-first-1100-sales-blueprint/,Free,https://img-c.udemycdn.com/course/240x135/3533448_685d.jpg,https://img-c.udemycdn.com/course/125_H/3533448_685d.jpg,A definitive step-by-step Etsy SEO crash course on how I ranked higher in searches and made my first 1100 sales!,Patrick Gamaliel,Udemy
101,Excel Dashboards in an Hour,True,0,0,/course/excel-dashboards-in-an-hour/,Free,https://img-c.udemycdn.com/course/240x135/926630_7e9d_2.jpg,https://img-c.udemycdn.com/course/125_H/926630_7e9d_2.jpg,"Learn how to create interactive Excel Dashboards in one hour. No special add-ins or tools required, just Excel.",Mynda Treacy,Udemy
35,Excel: From beginner to intermediate,True,0,0,/course/excel-2019-beginner-to-microsoft-intermediate/,Free,https://img-b.udemycdn.com/course/240x135/2483442_ae27_6.jpg,https://img-b.udemycdn.com/course/125_H/2483442_ae27_6.jpg,Learn the skills that Microsoft want you to know in Excel.,Phillip Burton,Udemy
49,Extra course : Understanding multiple timeframe for trading,True,0,0,/course/advanced-forex-trading-master-multiple-timeframe-to-trade/,Free,https://img-c.udemycdn.com/course/240x135/4626462_a41f_3.jpg,https://img-c.udemycdn.com/course/125_H/4626462_a41f_3.jpg,"Supporting for my paid course  : Key-Level , Smart Money Concepts , Price Action effectively in Technical Analyzation",Jayce PHAM | Funded Trading Group,Udemy
99,FREE Microsoft Dynamics 365 For Beginners (Updated for 2021),True,0,0,/course/microsoft-dynamics-crm-introduction-course/,Free,https://img-c.udemycdn.com/course/240x135/680886_5a75_9.jpg,https://img-c.udemycdn.com/course/125_H/680886_5a75_9.jpg,Learn the basics to become an Expert of Microsoft Dynamics 365 (CRM) Enterprise Solution and Boost Your Career Growth.,Online CRM Training (3E Consulting Private Limited),Udemy
72,Forensic Healing Free Start Up Energy Healing Course,True,0,0,/course/forensic-healing-free-start-up-energy-healing-course/,Free,https://img-c.udemycdn.com/course/240x135/1728710_9421_7.jpg,https://img-c.udemycdn.com/course/125_H/1728710_9421_7.jpg,Learn how Forensic Healing can advance your self healing journey or healing career with this Free 4 part video course.,Marisa Russo,Udemy
57,Foundations of Front-End Web Development,True,0,0,/course/foundations-of-front-end-development/,Free,https://img-c.udemycdn.com/course/240x135/311538_d31f_3.jpg,https://img-c.udemycdn.com/course/125_H/311538_d31f_3.jpg,Learn the skills to quickly start a career in Front-End Development today!,Davide Molin,Udemy
74,Free Blender Crash Course!,True,0,0,/course/blender-crash-course/,Free,https://img-c.udemycdn.com/course/240x135/2657572_8301.jpg,https://img-c.udemycdn.com/course/125_H/2657572_8301.jpg,Start now to create your 3D Scenes!,Gustavo Rosa,Udemy
34,Git & GitHub Crash Course: Create a Repository From Scratch!,True,0,0,/course/git-and-github-crash-course-creating-a-repository-from-scratch/,Free,https://img-b.udemycdn.com/course/240x135/1731774_b53c_2.jpg,https://img-b.udemycdn.com/course/125_H/1731774_b53c_2.jpg,"Learn how to create a Git repository, clone it, make changes, and submit changes to GitHub in less than 30 minutes.",Kalob Taulien,Udemy
69,Git Started with GitHub,True,0,0,/course/git-started-with-github/,Free,https://img-c.udemycdn.com/course/240x135/500632_e820.jpg,https://img-c.udemycdn.com/course/125_H/500632_e820.jpg,"Learn the basics of Git and GitHub, with clear, step-by-step instructions by a highly rated teacher.",Jason Taylor,Udemy
27,HTML5 and CSS3 Fundamentals,True,0,0,/course/html5-fundamentals-for-beginners/,Free,https://img-b.udemycdn.com/course/240x135/594360_bee2_2.jpg,https://img-b.udemycdn.com/course/125_H/594360_bee2_2.jpg,Build your very own website with HTML5 from scratch using HTML5 and CSS3 - designed for complete beginners,Stone River eLearning,Udemy
31,Herbalism :: Essential Herbal Medicine Favorites,True,0,0,/course/home-remedies/,Free,https://img-b.udemycdn.com/course/240x135/1029442_9422.jpg,https://img-b.udemycdn.com/course/125_H/1029442_9422.jpg,A brief introduction to great herbal medicine remedies that you can easily make at home.,Elizabeth Heck,Udemy
96,How To Build And Make A Wordpress Website From Scratch 2022,True,0,0,/course/how-to-build-and-make-a-wordpress-website-from-scratch-2017/,Free,https://img-c.udemycdn.com/course/240x135/1041426_5b20_4.jpg,https://img-c.udemycdn.com/course/125_H/1041426_5b20_4.jpg,Take your business one step further. Make and build a beautiful and successful website. Learn & master Wordpress easily!,Ido Moskovits,Udemy
97,How to Change Your Thinking & become more Positive,True,0,0,/course/change-your-thinking/,Free,https://img-c.udemycdn.com/course/240x135/173342_6104_2.jpg,https://img-c.udemycdn.com/course/125_H/173342_6104_2.jpg,Quick inspirational video tips to shift your perceptions so that you can  live the life you deserve.,Wolfgang Riebe,Udemy
66,How to Sell on Amazon - Amazon FBA Basics for Beginners,True,0,0,/course/how-to-sell-on-amazon/,Free,https://img-c.udemycdn.com/course/240x135/620184_95e8_6.jpg,https://img-c.udemycdn.com/course/125_H/620184_95e8_6.jpg,"Learn the right way to setup & access your Amazon seller account, which selling strategies exist, how to add products",Damir Šerbečić,Udemy
39,How to Use SMART Goals: Achieve More in Less Time,True,0,0,/course/goal-setting/,Free,https://img-c.udemycdn.com/course/240x135/580342_b14d_2.jpg,https://img-c.udemycdn.com/course/125_H/580342_b14d_2.jpg,"Use a proven goal setting strategy to increase your productivity, leadership and management skills. Achieve more today.",Richard Feenstra,Udemy
13,How to speak to anyone & be fearless - in less than 55 min,True,0,0,/course/fearless-public-speaker-bootcamp-by-ricky-mendoza/,Free,https://img-c.udemycdn.com/course/240x135/780078_e409_2.jpg,https://img-c.udemycdn.com/course/125_H/780078_e409_2.jpg,"Learn to quickly connect with crowds of strangers, be better on dates or ace that job interview.",Ricardo Mendoza,Udemy
85,How to start a 6 figure Amazon Dropshipping business in 2022,True,0,0,/course/amazon-dropshipping-2022/,Free,https://img-c.udemycdn.com/course/240x135/4618476_de1f.jpg,https://img-c.udemycdn.com/course/125_H/4618476_de1f.jpg,"Learn how to start dropshipping on Amazon in less than 2 hours, from creating your account to selling 6 figures!",Repricehub Automation,Udemy
91,Hypnosis For Spiritual Awakening & Healers with Past Lives,True,0,0,/course/hypnosis-for-spiritual-awakening-healers/,Free,https://img-c.udemycdn.com/course/240x135/4111678_1e83.jpg,https://img-c.udemycdn.com/course/125_H/4111678_1e83.jpg,"Hypnosis, Hypnotherapy and Regression to This Life and Past Lives. Assist Spiritual Awakening and being a Healer.",Mark Beale,Udemy
53,Intro to Linux Shell Scripting (Free course),True,0,0,/course/linux-shell-scripting-free/,Free,https://img-c.udemycdn.com/course/240x135/1675864_0386_3.jpg,https://img-c.udemycdn.com/course/125_H/1675864_0386_3.jpg,Get up to speed with Linux shell scripting quickly,Jason Cannon,Udemy
5,Introduction To Python Programming,True,0,0,/course/pythonforbeginnersintro/,Free,https://img-c.udemycdn.com/course/240x135/433798_1de9_4.jpg,https://img-c.udemycdn.com/course/125_H/433798_1de9_4.jpg,A Quick and Easy Intro into Python Programming,Avinash Jain,Udemy
20,Introduction to Cloud Computing,True,0,0,/course/introduction-to-cloud-computing/,Free,https://img-c.udemycdn.com/course/240x135/742114_9596_3.jpg,https://img-c.udemycdn.com/course/125_H/742114_9596_3.jpg,"Welcome to the Cloud... now, what is it?",Xavier Corbett,Udemy
90,Introduction to Cryptocurrencies and Blockchain,True,0,0,/course/introduction-to-cryptocurrencies/,Free,https://img-c.udemycdn.com/course/240x135/1188742_f853_2.jpg,https://img-c.udemycdn.com/course/125_H/1188742_f853_2.jpg,An Introduction to Cryptocurrencies: Get a functional and economic understanding of this new radical technology.,Vizitech Solutions,Udemy
14,Introduction to Databases and SQL Querying,True,0,0,/course/introduction-to-databases-and-sql-querying/,Free,https://img-c.udemycdn.com/course/240x135/552672_e2b6_5.jpg,https://img-c.udemycdn.com/course/125_H/552672_e2b6_5.jpg,A step by step introduction to the concept of Databases and Introduction to SQL Querying.,Rakesh Gopalakrishnan,Udemy
36,Introductory Aromatherapy Course For Natural Living,True,0,0,/course/free-aromatherapy-using-essential-oils-in-your-daily-life/,Free,https://img-c.udemycdn.com/course/240x135/1264544_7b3b_2.jpg,https://img-c.udemycdn.com/course/125_H/1264544_7b3b_2.jpg,Aromatherapy-Learn how to use essential oils in your everyday life safely and effectively to make your own products,Mark Perren-Jones,Udemy
16,Introductory Photography Course,True,0,0,/course/free-photography-course-for-beginners/,Free,https://img-c.udemycdn.com/course/240x135/917596_96c4_2.jpg,https://img-c.udemycdn.com/course/125_H/917596_96c4_2.jpg,The fastest way to get off 'Auto' mode and unlock the creative potential of your camera.,Chris Bray,Udemy
47,Java Database Connection: JDBC and MySQL,True,0,0,/course/how-to-connect-java-jdbc-to-mysql/,Free,https://img-c.udemycdn.com/course/240x135/366280_5908_2.jpg,https://img-c.udemycdn.com/course/125_H/366280_5908_2.jpg,Learn how to connect to a MySQL database with Java JDBC,Chad Darby,Udemy
4,Java Tutorial for Complete Beginners,True,0,0,/course/java-tutorial/,Free,https://img-c.udemycdn.com/course/240x135/24823_963e_14.jpg,https://img-c.udemycdn.com/course/125_H/24823_963e_14.jpg,Learn to program using the Java programming language,John Purcell,Udemy
23,Javascript Essentials,True,0,0,/course/javascript-essentials/,Free,https://img-c.udemycdn.com/course/240x135/707962_71f5_4.jpg,https://img-c.udemycdn.com/course/125_H/707962_71f5_4.jpg,"Learn how Javascript works, some basic API's and finally create a mini project.",Lawrence Turton,Udemy
83,Job Interview Skills Training Course,True,0,0,/course/find-a-job-interview-skills-training-course/,Free,https://img-c.udemycdn.com/course/240x135/74092_125b_6.jpg,https://img-c.udemycdn.com/course/125_H/74092_125b_6.jpg,Land that dream job by dazzling during your interview,"TeachUcomp, Inc.",Udemy
42,Learn Android Application Development,True,0,0,/course/learn-android-application-development-y/,Free,https://img-c.udemycdn.com/course/240x135/1325686_e03b_3.jpg,https://img-c.udemycdn.com/course/125_H/1325686_e03b_3.jpg,A beginner course on Android Application development,ProgramMe Programming,Udemy
80,Learn Canva & Canva Pro - Easiest Graphic Design Course 2022,True,0,0,/course/learn-canva-canva-pro-easiest-graphic-design-course-2022/,Free,https://img-c.udemycdn.com/course/240x135/4481730_56fc_3.jpg,https://img-c.udemycdn.com/course/125_H/4481730_56fc_3.jpg,Easiest Canva Course of 2022 - Canva and Canva Pro Graphic Design Bootcamp,Syed Nasir Ud Din,Udemy
95,Learn Mindfulness Meditation for a Calmer and Clearer mind,True,0,0,/course/mindfulness-stress-reduction/,Free,https://img-c.udemycdn.com/course/240x135/238788_393f_5.jpg,https://img-c.udemycdn.com/course/125_H/238788_393f_5.jpg,Practical mindfulness meditation course showing the method how to increase concentration and reduce stress,Per Norrgren,Udemy
73,Learn Python Language Fundamentals In Simple Way,True,0,0,/course/learn-python-language-fundamentals-in-simple-way/,Free,https://img-c.udemycdn.com/course/240x135/2333118_2a97_5.jpg,https://img-c.udemycdn.com/course/125_H/2333118_2a97_5.jpg,To Know Basics of Python and To Enter Python World Very Easily,DURGASOFT DURGA,Udemy
78,Learn Python for Total Beginners,True,0,0,/course/python-3-for-total-beginners/,Free,https://img-c.udemycdn.com/course/240x135/1413516_9f4b_2.jpg,https://img-c.udemycdn.com/course/125_H/1413516_9f4b_2.jpg,From newbie to pro in a day with 7 brain teasing exercises and full solutions provided.,Michael S Russell,Udemy
106,Learn Social Psychology Fundamentals,True,0,0,/course/learn-social-psychology-fundamentals/,Free,https://img-c.udemycdn.com/course/240x135/544860_87b3_2.jpg,https://img-c.udemycdn.com/course/125_H/544860_87b3_2.jpg,"Learn the basics of social psychology - how we think about people, make decisions and navigate the social world.","Andrew Luttrell, Ph.D.",Udemy
48,Life Coaching 101: Complete Guide to Becoming a Life Coach,True,0,0,/course/life-coaching-101-complete-guide-to-becoming-a-life-coach/,Free,https://img-c.udemycdn.com/course/240x135/2398804_7c95.jpg,https://img-c.udemycdn.com/course/125_H/2398804_7c95.jpg,"Find out why life coaching is awesome, what it takes to be successful & the 3 secrets to attracting your ideal clients!",Joeel & Natalie Rivera,Udemy
82,Linux Tutorials and Projects (Free),True,0,0,/course/linux-tutorials/,Free,https://img-c.udemycdn.com/course/240x135/1380080_97b2_4.jpg,https://img-c.udemycdn.com/course/125_H/1380080_97b2_4.jpg,"Free Tutorials Including Load Balancing, MySQL Replication, SSL Certificate Management and More.",Jason Cannon,Udemy
58,"Master English Sentence Structure | Better Grammar, Writing",True,0,0,/course/easy-english-grammar-improve-your-english-in-one-day/,Free,https://img-c.udemycdn.com/course/240x135/656678_318e_7.jpg,https://img-c.udemycdn.com/course/125_H/656678_318e_7.jpg,Improve your English and master the English sentence types. Learn to master English grammar and speaking the easy way!,Scott Mendoza,Udemy
75,Meet your brain: a short introduction to neuroscience,True,0,0,/course/meet-your-brain/,Free,https://img-c.udemycdn.com/course/240x135/341182_c447_7.jpg,https://img-c.udemycdn.com/course/125_H/341182_c447_7.jpg,Psychology and science. Discover how 4 brainstructures control our emotions and decisions,Gregory Caremans - Brain Academy,Udemy
62,Mental Health for Coping with Stress & Anxiety (Coronavirus),True,0,0,/course/mental-health-for-coping-with-stress-anxiety-covid-19/,Free,https://img-c.udemycdn.com/course/240x135/2880294_b6b5_4.jpg,https://img-c.udemycdn.com/course/125_H/2880294_b6b5_4.jpg,"Growth Mindset, Psychology & Mental Health to Find Opportunity in the Crisis & Cope with Fear, Worry, Anxiety & Stress",Joeel & Natalie Rivera,Udemy
1,Microsoft Excel - Excel from Beginner to Advanced,True,0,0,/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,"₹3,499",https://img-c.udemycdn.com/course/240x135/793796_0e89_2.jpg,https://img-c.udemycdn.com/course/125_H/793796_0e89_2.jpg,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365",Kyle Pew,Udemy
55,Passive Income: Affiliate Marketing [WordPress Website],True,0,0,/course/affiliate-marketing-for-beginners-full-tutorial/,Free,https://img-c.udemycdn.com/course/240x135/2044724_4a26_2.jpg,https://img-c.udemycdn.com/course/125_H/2044724_4a26_2.jpg,Start making passive income with affiliate marketing. Easier than you think!,Greg Gottfried,Udemy
102,Photography Fundamentals for Beginners,True,0,0,/course/photography-for-beginners/,Free,https://img-c.udemycdn.com/course/240x135/1213796_b6c8_4.jpg,https://img-c.udemycdn.com/course/125_H/1213796_b6c8_4.jpg,"Learn the exposure triangle (aperture, shutter speed, ISO) and basic composition rules in this easy photography course.",Phil Ebiner,Udemy
28,Photoshop Fundamentals,True,0,0,/course/photoshop-fundamentals-in-one-hour/,Free,https://img-b.udemycdn.com/course/240x135/1298462_38dd.jpg,https://img-b.udemycdn.com/course/125_H/1298462_38dd.jpg,The power of the digital art standard at your finger tips,Hardy Fowler,Udemy
54,PowerPoint for Beginners - Program & Animation Basics FREE,True,0,0,/course/powerpoint-for-beginners-free/,Free,https://img-c.udemycdn.com/course/240x135/1931574_a4f4_2.jpg,https://img-c.udemycdn.com/course/125_H/1931574_a4f4_2.jpg,PowerPoint basics is a free course where you learn basics about the software and its animation features. Enjoy!,Andrew Pach,Udemy
37,Powerful Self Healing in 5 Simple Steps - Self Help Course,True,0,0,/course/self-help-course/,Free,https://img-c.udemycdn.com/course/240x135/1164120_6cce.jpg,https://img-c.udemycdn.com/course/125_H/1164120_6cce.jpg,Easy self help steps & actions everyone can overlay on their existing routine to achieve better health & happiness,Melissa Crowhurst,Udemy
